dose S
0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 9.919733749609614959e-01
1.000000000000000000e+00 9.803228108890449377e-01
1.500000000000000000e+00 9.642048690877802475e-01
2.000000000000000000e+00 9.428333630142545774e-01
2.500000000000000000e+00 9.155802763164460067e-01
3.000000000000000000e+00 8.820448144976555938e-01
3.500000000000000000e+00 8.420873636237988791e-01
4.000000000000000000e+00 7.958880367324026039e-01
4.500000000000000000e+00 7.440664259456097884e-01
5.000000000000000000e+00 6.877867565756041746e-01
5.500000000000000000e+00 6.287224142112995962e-01
6.000000000000000000e+00 5.688420316611753069e-01
6.500000000000000000e+00 5.100994820023549980e-01
7.000000000000000000e+00 4.541555953635487142e-01
7.500000000000000000e+00 4.022130604950429622e-01
8.000000000000000000e+00 3.549799798052636901e-01
